tag,x,y,direction,x_variance,y_variance,xy_covariance
yellow,26.55930175,-3.57345275,0,0.01,0.01,0
yellow,27.31622003,-5.058988531,0,0.01,0.01,0
yellow,28.125,-9.125,0,0.01,0.01,0
yellow,27.31622003,-13.19101147,0,0.01,0.01,0
yellow,25.01300955,-16.63800955,0,0.01,0.01,0
yellow,21.56601147,-18.94122003,0,0.01,0.01,0
yellow,17.5,-19.75,0,0.01,0.01,0
yellow,13.43398853,-18.94122003,0,0.01,0.01,0
yellow,9.98699045,-16.63800955,0,0.01,0.01,0
yellow,7.68377997,-13.19101147,0,0.01,0.01,0
yellow,6.875,-9.125,0,0.01,0.01,0
yellow,7.68377997,-5.058988531,0,0.01,0.01,0
yellow,8.44069825,-3.57345275,0,0.01,0.01,0
blue,8.44069825,3.57345275,0,0.01,0.01,0
blue,7.68377997,5.058988531,0,0.01,0.01,0
blue,6.875,9.125,0,0.01,0.01,0
blue,7.68377997,13.19101147,0,0.01,0.01,0
blue,9.98699045,16.63800955,0,0.01,0.01,0
blue,13.43398853,18.94122003,0,0.01,0.01,0
blue,26.55930175,3.57345275,0,0.01,0.01,0
blue,27.31622003,5.058988531,0,0.01,0.01,0
blue,28.125,9.125,0,0.01,0.01,0
blue,27.31622003,13.19101147,0,0.01,0.01,0
blue,25.01300955,16.63800955,0,0.01,0.01,0
blue,21.56601147,18.94122003,0,0.01,0.01,0
blue,17.5,19.75,0,0.01,0.01,0
blue,17.5,-1.5,0,0.01,0.01,0
blue,20.41796117,-2.080418565,0,0.01,0.01,0
blue,22.89168921,-3.733310793,0,0.01,0.01,0
blue,24.54458144,-6.207038828,0,0.01,0.01,0
blue,25.125,-9.125,0,0.01,0.01,0
blue,24.54458144,-12.04296117,0,0.01,0.01,0
blue,22.89168921,-14.51668921,0,0.01,0.01,0
blue,20.41796117,-16.16958144,0,0.01,0.01,0
blue,17.5,-16.75,0,0.01,0.01,0
blue,14.58203883,-16.16958144,0,0.01,0.01,0
blue,12.10831079,-14.51668921,0,0.01,0.01,0
blue,10.45541857,-12.04296117,0,0.01,0.01,0
blue,9.875,-9.125,0,0.01,0.01,0
blue,10.45541857,-6.207038828,0,0.01,0.01,0
blue,12.10831079,-3.733310793,0,0.01,0.01,0
blue,14.58203883,-2.080418565,0,0.01,0.01,0
yellow,17.5,1.5,0,0.01,0.01,0
yellow,20.41796117,2.080418565,0,0.01,0.01,0
yellow,22.89168921,3.733310793,0,0.01,0.01,0
yellow,24.54458144,6.207038828,0,0.01,0.01,0
yellow,25.125,9.125,0,0.01,0.01,0
yellow,24.54458144,12.04296117,0,0.01,0.01,0
yellow,22.89168921,14.51668921,0,0.01,0.01,0
yellow,20.41796117,16.16958144,0,0.01,0.01,0
yellow,17.5,16.75,0,0.01,0.01,0
yellow,14.58203883,16.16958144,0,0.01,0.01,0
yellow,12.10831079,14.51668921,0,0.01,0.01,0
yellow,10.45541857,12.04296117,0,0.01,0.01,0
yellow,9.875,9.125,0,0.01,0.01,0
yellow,10.45541857,6.207038828,0,0.01,0.01,0
yellow,12.10831079,3.733310793,0,0.01,0.01,0
yellow,14.58203883,2.080418565,0,0.01,0.01,0
orange,7.5,1.5,0,0.01,0.01,0
orange,2.5,1.5,0,0.01,0.01,0
orange,7.5,-1.5,0,0.01,0.01,0
orange,2.5,-1.5,0,0.01,0.01,0
orange,27.5,1.5,0,0.01,0.01,0
orange,32.5,1.5,0,0.01,0.01,0
orange,37.5,1.5,0,0.01,0.01,0
orange,42.5,1.5,0,0.01,0.01,0
orange,42.5,0.5,0,0.01,0.01,0
orange,42.5,-0.5,0,0.01,0.01,0
orange,42.5,-1.5,0,0.01,0.01,0
orange,37.5,-1.5,0,0.01,0.01,0
orange,27.5,-1.5,0,0.01,0.01,0
orange,32.5,-1.5,0,0.01,0.01,0
orange_large,18.5,-1.5,0,0.01,0.01,0
orange_large,16.5,-1.5,0,0.01,0.01,0
orange_large,18.5,1.5,0,0.01,0.01,0
orange_large,16.5,1.5,0,0.01,0.01,0
car_start,0,0,0,1.57,0,0
