x,y
-15,0
-12,0
-9,0
-6,0
-3,0
0,0
2.819780074,0.4466092888
5.363540427,1.742719926
7.382280074,3.761459573
8.678390711,6.305219926
9.125,9.125
8.678390711,11.94478007
7.382280074,14.48854043
5.363540427,16.50728007
2.819780074,17.80339071
0,18.25
-2.819780074,17.80339071
-5.363540427,16.50728007
-7.382280074,14.48854043
-8.678390711,11.94478007
-9.125,9.125
-8.678390711,6.305219926
-7.382280074,3.761459573
-5.363540427,1.742719926
-2.819780074,0.4466092888
0,0
2.819780074,0.4466092888
5.363540427,1.742719926
7.382280074,3.761459573
8.678390711,6.305219926
9.125,9.125
8.678390711,11.94478007
7.382280074,14.48854043
5.363540427,16.50728007
2.819780074,17.80339071
0,18.25
-2.819780074,17.80339071
-5.363540427,16.50728007
-7.382280074,14.48854043
-8.678390711,11.94478007
-9.125,9.125
-8.678390711,6.305219926
-7.382280074,3.761459573
-5.363540427,1.742719926
-2.819780074,0.4466092888
0,0
2.819780074,-0.4466092888
5.363540427,-1.742719926
7.382280074,-3.761459573
8.678390711,-6.305219926
9.125,-9.125
8.678390711,-11.94478007
7.382280074,-14.48854043
5.363540427,-16.50728007
2.819780074,-17.80339071
0,-18.25
-2.819780074,-17.80339071
-5.363540427,-16.50728007
-7.382280074,-14.48854043
-8.678390711,-11.94478007
-9.125,-9.125
-8.678390711,-6.305219926
-7.382280074,-3.761459573
-5.363540427,-1.742719926
-2.819780074,-0.4466092888
0,0
2.819780074,-0.4466092888
5.363540427,-1.742719926
7.382280074,-3.761459573
8.678390711,-6.305219926
9.125,-9.125
8.678390711,-11.94478007
7.382280074,-14.48854043
5.363540427,-16.50728007
2.819780074,-17.80339071
0,-18.25
-2.819780074,-17.80339071
-5.363540427,-16.50728007
-7.382280074,-14.48854043
-8.678390711,-11.94478007
-9.125,-9.125
-8.678390711,-6.305219926
-7.382280074,-3.761459573
-5.363540427,-1.742719926
-2.819780074,-0.4466092888
0,0
3,0
6,0
9,0
12,0
