x,y
-0.691542,-0.730281
0.983368,-0.414988
2.862727,-0.287096
5.071624,-0.017246
6.053197,-0.232240
8.510154,-0.506206
9.944788,-1.129372
11.146362,-1.912848
12.478368,-2.728120
14.743400,-3.055237
16.324500,-2.682257
19.017566,-1.464095
20.043309,-0.184985
21.291937,2.097820
21.626922,5.003572
21.509775,6.800945
21.058577,8.433354
19.373443,10.808349
17.716658,12.061481
13.891230,12.486869
11.793937,11.019291
10.616852,9.660418
8.951453,7.762858
8.717395,7.596500
6.994658,6.464612
3.913968,6.512529
2.070921,8.173303
1.341388,8.725082
0.828526,9.429039
-0.879319,11.020387
-2.213969,12.047332
-3.680288,12.979338
-5.338140,13.719571
-7.404200,14.065958
-9.203170,13.967779
-12.536680,12.062174
-13.585475,10.759258
-14.501559,9.155996
-15.291094,6.681090
-15.607983,4.822619
-15.349777,1.836790
-14.842140,0.104408
-14.133532,-1.449475
-12.584801,-3.780640
-10.926893,-5.162427
-7.779398,-5.635185
-5.996047,-5.063956
-4.589233,-3.896891
-3.369779,-2.572601
